"";"country";"province";"Country.Code.x";"Indicator.Name.x";"Indicator.Code.x";"population_total";"Country.Code.y";"Indicator.Name.y";"Indicator.Code.y";"population_perc"
"1";"Afghanistan";"Badakhshan";"AFG_Badakhshan_AF.BD_272_AFG001";"Population, total";"SP.POP.TOTL";"1216000";"AFG_Badakhshan_AF.BD_272_AFG001";"Population (% of total)";"SP.POP.TOTL.ZS";"3.51"
"2";"Afghanistan";"Badakhshan";"AFG_Badakhshan_AF.BD_272_AFG001";"Population, total";"SP.POP.TOTL";"1216000";"AFG_Badakhshan_AF.BD_272_AFG001";"Population (% of total)";"SP.POP.TOTL.ZS";"3.51"
"3";"Afghanistan";"Badakhshan";"AFG_Badakhshan_AF.BD_272_AFG001";"Population, total";"SP.POP.TOTL";"1216000";"AFG_Badakhshan_AF.BD_272_AFG001";"Population (% of total)";"SP.POP.TOTL.ZS";"3.51"
"4";"Afghanistan";"Badakhshan";"AFG_Badakhshan_AF.BD_272_AFG001";"Population, total";"SP.POP.TOTL";"1216000";"AFG_Badakhshan_AF.BD_272_AFG001";"Population (% of total)";"SP.POP.TOTL.ZS";"3.51"
"5";"Afghanistan";"Badakhshan";"AFG_Badakhshan_AF.BD_272_AFG001";"Population, total";"SP.POP.TOTL";"1216000";"AFG_Badakhshan_AF.BD_272_AFG001";"Population (% of total)";"SP.POP.TOTL.ZS";"3.51"
"6";"Afghanistan";"Baghlan";"AFG_Baghlan_AF.BL_274_AFG003";"Population, total";"SP.POP.TOTL";"1164000";"AFG_Baghlan_AF.BL_274_AFG003";"Population (% of total)";"SP.POP.TOTL.ZS";"3.36"
"7";"Afghanistan";"Baghlan";"AFG_Baghlan_AF.BL_274_AFG003";"Population, total";"SP.POP.TOTL";"1164000";"AFG_Baghlan_AF.BL_274_AFG003";"Population (% of total)";"SP.POP.TOTL.ZS";"3.36"
"8";"Afghanistan";"Balkh";"AFG_Balkh_ District_3477";"Population, total";"SP.POP.TOTL";"1695000";"AFG_Balkh_ District_3477";"Population (% of total)";"SP.POP.TOTL.ZS";"4.89"
"9";"Afghanistan";"Balkh";"AFG_Balkh_ District_3477";"Population, total";"SP.POP.TOTL";"1695000";"AFG_Balkh_ District_3477";"Population (% of total)";"SP.POP.TOTL.ZS";"4.89"
"10";"Afghanistan";"Balkh";"AFG_Balkh_ District_3477";"Population, total";"SP.POP.TOTL";"1695000";"AFG_Balkh_ District_3477";"Population (% of total)";"SP.POP.TOTL.ZS";"4.89"
"11";"Afghanistan";"Balkh";"AFG_Balkh_ District_3477";"Population, total";"SP.POP.TOTL";"1695000";"AFG_Balkh_ District_3477";"Population (% of total)";"SP.POP.TOTL.ZS";"4.89"
"12";"Afghanistan";"Bamyan";"AFG_Bamyan_AF.BM_276_AFG005";"Population, total";"SP.POP.TOTL";"572000";"AFG_Bamyan_AF.BM_276_AFG005";"Population (% of total)";"SP.POP.TOTL.ZS";"1.65"
"13";"Afghanistan";"Bamyan";"AFG_Bamyan_AF.BM_276_AFG005";"Population, total";"SP.POP.TOTL";"572000";"AFG_Bamyan_AF.BM_276_AFG005";"Population (% of total)";"SP.POP.TOTL.ZS";"1.65"
"14";"Afghanistan";"Daykundi";"AFG_Daykundi_AF.DK_99878_AFG033";"Population, total";"SP.POP.TOTL";"514000";"AFG_Daykundi_AF.DK_99878_AFG033";"Population (% of total)";"SP.POP.TOTL.ZS";"1.48"
"15";"Afghanistan";"Daykundi";"AFG_Daykundi_AF.DK_99878_AFG033";"Population, total";"SP.POP.TOTL";"514000";"AFG_Daykundi_AF.DK_99878_AFG033";"Population (% of total)";"SP.POP.TOTL.ZS";"1.48"
"16";"Afghanistan";"Ghazni";"AFG_Ghazni_AF.GZ_279_AFG008";"Population, total";"SP.POP.TOTL";"1571000";"AFG_Ghazni_AF.GZ_279_AFG008";"Population (% of total)";"SP.POP.TOTL.ZS";"4.53"
"17";"Afghanistan";"Ghazni";"AFG_Ghazni_AF.GZ_279_AFG008";"Population, total";"SP.POP.TOTL";"1571000";"AFG_Ghazni_AF.GZ_279_AFG008";"Population (% of total)";"SP.POP.TOTL.ZS";"4.53"
"18";"Afghanistan";"Ghazni";"AFG_Ghazni_AF.GZ_279_AFG008";"Population, total";"SP.POP.TOTL";"1571000";"AFG_Ghazni_AF.GZ_279_AFG008";"Population (% of total)";"SP.POP.TOTL.ZS";"4.53"
"19";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"20";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"21";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"22";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"23";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"24";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"25";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"26";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"27";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"28";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
"29";"Afghanistan";"Herat";"AFG_Herat_AF.HR_282_AFG011";"Population, total";"SP.POP.TOTL";"2417000";"AFG_Herat_AF.HR_282_AFG011";"Population (% of total)";"SP.POP.TOTL.ZS";"6.97"
