"","data.percent_covid","data.percent_covid_unw","data.iso_code","data.gid_0","data.percent_contact","data.percent_contact_unw","data.percent_mask","data.percent_mask_unw","data.pct_anxious_7d","data.pct_anxious_7d_unw","data.percent_finance","data.percent_finance_unw","country","date"
"1",0.048202,0.075,"AFG","AFG",NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan",2020-04-24
"2",0.087752,0.068627,"AFG","AFG",NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan",2020-04-25
"3",0.015994,0.017544,"AFG","AFG",NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan",2020-04-26
"4",0.044156,0.019417,"AFG","AFG",NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan",2020-04-27
"5",0.056438,0.034483,"AFG","AFG",NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan",2020-04-28
"6",0.050922,0.039063,"AFG","AFG",0.409085,0.415094,0.495444,0.584158,NA,NA,NA,NA,"Afghanistan",2020-04-29
"7",0.039327,0.025974,"AFG","AFG",0.363307,0.42735,0.63689,0.663793,0.069031,0.098214,NA,NA,"Afghanistan",2020-05-03
"8",0.034552,0.046243,"AFG","AFG",0.504849,0.503546,0.690403,0.637681,0.086042,0.083333,0.570517,0.560606,"Afghanistan",2020-05-04
"9",0.010885,0.021505,"AFG","AFG",0.430544,0.493333,0.628871,0.627586,0.110177,0.107143,0.634048,0.598592,"Afghanistan",2020-05-05
"10",0.040071,0.041667,"AFG","AFG",0.42298,0.439394,0.667123,0.640625,0.142157,0.135593,0.560223,0.579832,"Afghanistan",2020-05-06
"11",0.071261,0.08,"AFG","AFG",0.541498,0.521212,0.585582,0.580645,0.171077,0.108844,0.667981,0.605442,"Afghanistan",2020-05-07
"12",0.029282,0.042453,"AFG","AFG",0.481744,0.48503,0.587191,0.626582,0.100416,0.090909,0.645346,0.588235,"Afghanistan",2020-05-08
"13",0.081525,0.076923,"AFG","AFG",0.544369,0.527778,0.534433,0.556338,0.134331,0.124088,0.650908,0.654676,"Afghanistan",2020-05-09
"14",0.013244,0.02907,"AFG","AFG",0.43554,0.456522,0.566626,0.578947,0.20665,0.173228,0.688364,0.65873,"Afghanistan",2020-05-10
"15",0.038337,0.060976,"AFG","AFG",0.524428,0.537879,0.579186,0.586777,0.093834,0.109091,0.680906,0.625,"Afghanistan",2020-05-11
"16",0.052842,0.051136,"AFG","AFG",0.527857,0.546763,0.560307,0.5625,0.113824,0.130769,0.52772,0.554688,"Afghanistan",2020-05-12
"17",0.037848,0.057471,"AFG","AFG",0.478035,0.541667,0.562913,0.564286,0.08496,0.103704,0.495923,0.561151,"Afghanistan",2020-05-13
"18",0.038602,0.025974,"AFG","AFG",0.56062,0.541667,0.65581,0.636364,0.056871,0.054054,0.591878,0.6,"Afghanistan",2020-05-14
"19",0.054878,0.055814,"AFG","AFG",0.51712,0.502924,0.585459,0.590062,0.10748,0.111842,0.636017,0.636364,"Afghanistan",2020-05-15
"20",0.02037,0.028226,"AFG","AFG",0.507437,0.541667,0.630004,0.604396,0.130335,0.135593,0.635881,0.623596,"Afghanistan",2020-05-16
"21",0.022787,0.047431,"AFG","AFG",0.481014,0.413978,0.655803,0.664773,0.129774,0.14881,0.58167,0.619048,"Afghanistan",2020-05-17
"22",0.066416,0.063492,"AFG","AFG",0.548422,0.54,0.662096,0.688776,0.148856,0.141304,0.626967,0.644809,"Afghanistan",2020-05-18
"23",0.085913,0.080357,"AFG","AFG",0.618785,0.58011,0.590137,0.607143,0.112229,0.126582,0.723312,0.69375,"Afghanistan",2020-05-19
"24",0.05242,0.052817,"AFG","AFG",0.529031,0.53913,0.575434,0.588785,0.069193,0.114286,0.537226,0.563107,"Afghanistan",2020-05-20
"25",0.049502,0.056911,"AFG","AFG",0.459533,0.438144,0.63131,0.587912,0.102357,0.102857,0.59909,0.577143,"Afghanistan",2020-05-21
"26",0.080054,0.083004,"AFG","AFG",0.583953,0.574359,0.504518,0.536842,0.181513,0.140541,0.638492,0.645161,"Afghanistan",2020-05-22
"27",0.049265,0.067873,"AFG","AFG",0.481572,0.522989,0.608502,0.582353,0.081125,0.080745,0.516427,0.50641,"Afghanistan",2020-05-23
"28",0.053525,0.055,"AFG","AFG",0.586624,0.597222,0.700932,0.676471,0.137327,0.126866,0.619697,0.601504,"Afghanistan",2020-05-24
"29",0.101757,0.088983,"AFG","AFG",0.596514,0.56,0.4432,0.48503,0.096269,0.121019,0.582605,0.555556,"Afghanistan",2020-05-25
"30",0.073491,0.067416,"AFG","AFG",0.493525,0.472222,0.570769,0.588235,0.127114,0.115183,0.538424,0.584615,"Afghanistan",2020-05-26
"31",0.074424,0.064057,"AFG","AFG",0.529282,0.56087,0.537577,0.552381,0.103662,0.089623,0.605812,0.578199,"Afghanistan",2020-05-27
"32",0.09584,0.091691,"AFG","AFG",0.549166,0.540541,0.557975,0.577689,0.106703,0.078512,0.661303,0.657025,"Afghanistan",2020-05-28
"33",0.071059,0.065934,"AFG","AFG",0.548353,0.57193,0.471131,0.498127,0.16075,0.154717,0.657392,0.671698,"Afghanistan",2020-05-29
"34",0.090387,0.09863,"AFG","AFG",0.56619,0.542857,0.504045,0.498155,0.100406,0.116279,0.637354,0.605364,"Afghanistan",2020-05-30
"35",0.126965,0.117493,"AFG","AFG",0.540828,0.536913,0.588564,0.55036,0.105338,0.106464,0.643484,0.613027,"Afghanistan",2020-05-31
"36",0.119107,0.099698,"AFG","AFG",0.455919,0.550562,0.580046,0.611111,0.187524,0.157258,0.635707,0.619433,"Afghanistan",2020-06-01
"37",0.079883,0.068571,"AFG","AFG",0.42829,0.464945,0.647805,0.629213,0.229731,0.15415,0.603995,0.583333,"Afghanistan",2020-06-02
"38",0.089855,0.127451,"AFG","AFG",0.378343,0.478814,0.673012,0.630631,0.194326,0.138756,0.585084,0.578199,"Afghanistan",2020-06-03
"39",0.08954,0.10219,"AFG","AFG",0.603211,0.524272,0.651586,0.622449,0.079917,0.108247,0.655944,0.60101,"Afghanistan",2020-06-04
"40",0.124464,0.111821,"AFG","AFG",0.554144,0.548936,0.595959,0.629464,0.136001,0.174312,0.494062,0.578704,"Afghanistan",2020-06-05
"41",0.093162,0.091803,"AFG","AFG",0.45789,0.489879,0.626811,0.634454,0.215643,0.164384,0.604932,0.612613,"Afghanistan",2020-06-06
"42",0.072536,0.086093,"AFG","AFG",0.462508,0.550847,0.587073,0.610619,0.106707,0.121495,0.60031,0.627907,"Afghanistan",2020-06-07
"43",0.055865,0.081851,"AFG","AFG",0.45534,0.506912,0.687343,0.658537,0.114092,0.110553,0.693031,0.609137,"Afghanistan",2020-06-08
